date,area,data_set,variable,measurement,value,population,square_km,people_per_square_km
2020-03-24,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,43,306640,2643.3061000000002,116.00623930766095
2020-04-03,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,189,306640,2643.3061000000002,116.00623930766095
2020-04-02,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,172,306640,2643.3061000000002,116.00623930766095
2020-04-05,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,226,306640,2643.3061000000002,116.00623930766095
2020-04-04,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,208,306640,2643.3061000000002,116.00623930766095
2020-03-31,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,131,306640,2643.3061000000002,116.00623930766095
2020-03-30,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,103,306640,2643.3061000000002,116.00623930766095
2020-04-01,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,146,306640,2643.3061000000002,116.00623930766095
2020-05-12,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,856,306640,2643.3061000000002,116.00623930766095
2020-05-11,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,839,306640,2643.3061000000002,116.00623930766095
2020-05-14,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,863,306640,2643.3061000000002,116.00623930766095
2020-05-13,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,859,306640,2643.3061000000002,116.00623930766095
2020-05-08,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,828,306640,2643.3061000000002,116.00623930766095
2020-05-07,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,818,306640,2643.3061000000002,116.00623930766095
2020-05-10,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,828,306640,2643.3061000000002,116.00623930766095
2020-05-09,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,828,306640,2643.3061000000002,116.00623930766095
2020-05-20,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,894,306640,2643.3061000000002,116.00623930766095
2020-05-19,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,883,306640,2643.3061000000002,116.00623930766095
2020-05-22,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,909,306640,2643.3061000000002,116.00623930766095
2020-05-21,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,896,306640,2643.3061000000002,116.00623930766095
2020-05-16,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,871,306640,2643.3061000000002,116.00623930766095
2020-05-15,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,867,306640,2643.3061000000002,116.00623930766095
2020-05-18,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,880,306640,2643.3061000000002,116.00623930766095
2020-05-17,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,873,306640,2643.3061000000002,116.00623930766095
2020-04-27,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,680,306640,2643.3061000000002,116.00623930766095
2020-04-26,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,662,306640,2643.3061000000002,116.00623930766095
2020-04-29,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,717,306640,2643.3061000000002,116.00623930766095
2020-04-28,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,689,306640,2643.3061000000002,116.00623930766095
2020-04-23,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,604,306640,2643.3061000000002,116.00623930766095
2020-04-22,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,569,306640,2643.3061000000002,116.00623930766095
2020-04-25,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,655,306640,2643.3061000000002,116.00623930766095
2020-04-24,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,606,306640,2643.3061000000002,116.00623930766095
2020-05-04,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,794,306640,2643.3061000000002,116.00623930766095
2020-05-03,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,788,306640,2643.3061000000002,116.00623930766095
2020-05-06,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,809,306640,2643.3061000000002,116.00623930766095
2020-05-05,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,802,306640,2643.3061000000002,116.00623930766095
2020-05-01,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,747,306640,2643.3061000000002,116.00623930766095
2020-04-30,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,724,306640,2643.3061000000002,116.00623930766095
2020-05-02,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,757,306640,2643.3061000000002,116.00623930766095
2020-05-02,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,768,373550,1325.0352,281.9170388831934
2020-05-01,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,750,373550,1325.0352,281.9170388831934
2020-05-04,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,778,373550,1325.0352,281.9170388831934
2020-05-03,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,776,373550,1325.0352,281.9170388831934
2020-04-28,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,692,373550,1325.0352,281.9170388831934
2020-04-27,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,681,373550,1325.0352,281.9170388831934
2020-04-30,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,737,373550,1325.0352,281.9170388831934
2020-04-29,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,712,373550,1325.0352,281.9170388831934
2020-05-10,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,811,373550,1325.0352,281.9170388831934
2020-05-09,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,810,373550,1325.0352,281.9170388831934
2020-05-12,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,813,373550,1325.0352,281.9170388831934
2020-05-11,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,813,373550,1325.0352,281.9170388831934
2020-05-06,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,792,373550,1325.0352,281.9170388831934
2020-05-05,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,784,373550,1325.0352,281.9170388831934
2020-05-08,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,804,373550,1325.0352,281.9170388831934
2020-05-07,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,801,373550,1325.0352,281.9170388831934
2020-04-17,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,488,373550,1325.0352,281.9170388831934
2020-04-16,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,446,373550,1325.0352,281.9170388831934
2020-04-19,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,532,373550,1325.0352,281.9170388831934
2020-04-18,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,514,373550,1325.0352,281.9170388831934
2020-04-13,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,383,373550,1325.0352,281.9170388831934
2020-04-12,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,379,373550,1325.0352,281.9170388831934
2020-04-15,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,424,373550,1325.0352,281.9170388831934
2020-04-14,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,397,373550,1325.0352,281.9170388831934
2020-04-24,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,637,373550,1325.0352,281.9170388831934
2020-04-23,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,619,373550,1325.0352,281.9170388831934
2020-04-26,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,672,373550,1325.0352,281.9170388831934
2020-04-25,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,653,373550,1325.0352,281.9170388831934
2020-04-21,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,561,373550,1325.0352,281.9170388831934
2020-04-20,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,542,373550,1325.0352,281.9170388831934
2020-04-22,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,593,373550,1325.0352,281.9170388831934
2020-03-13,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,6,306640,2643.3061000000002,116.00623930766095
2020-03-12,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,6,306640,2643.3061000000002,116.00623930766095
2020-05-28,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,830,373550,1325.0352,281.9170388831934
2020-03-19,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,17,306640,2643.3061000000002,116.00623930766095
2020-03-18,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,15,306640,2643.3061000000002,116.00623930766095
2020-03-21,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,27,306640,2643.3061000000002,116.00623930766095
2020-03-20,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,23,306640,2643.3061000000002,116.00623930766095
2020-03-15,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,10,306640,2643.3061000000002,116.00623930766095
2020-03-14,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,6,306640,2643.3061000000002,116.00623930766095
2020-03-17,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,12,306640,2643.3061000000002,116.00623930766095
2020-03-16,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,10,306640,2643.3061000000002,116.00623930766095
2020-05-18,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,824,373550,1325.0352,281.9170388831934
2020-05-17,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,824,373550,1325.0352,281.9170388831934
2020-05-20,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,826,373550,1325.0352,281.9170388831934
2020-05-19,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,825,373550,1325.0352,281.9170388831934
2020-05-14,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,823,373550,1325.0352,281.9170388831934
2020-05-13,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,816,373550,1325.0352,281.9170388831934
2020-05-16,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,824,373550,1325.0352,281.9170388831934
2020-05-15,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,824,373550,1325.0352,281.9170388831934
2020-05-25,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,827,373550,1325.0352,281.9170388831934
2020-05-24,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,826,373550,1325.0352,281.9170388831934
2020-05-27,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,830,373550,1325.0352,281.9170388831934
2020-05-26,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,828,373550,1325.0352,281.9170388831934
2020-05-22,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,826,373550,1325.0352,281.9170388831934
2020-05-21,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,826,373550,1325.0352,281.9170388831934
2020-05-23,Fife,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,826,373550,1325.0352,281.9170388831934
2020-05-22,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1223,585700,8735.8564,67.04551599543234
2020-05-21,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1218,585700,8735.8564,67.04551599543234
2020-05-24,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1224,585700,8735.8564,67.04551599543234
2020-05-23,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1223,585700,8735.8564,67.04551599543234
2020-05-18,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1200,585700,8735.8564,67.04551599543234
2020-05-17,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1189,585700,8735.8564,67.04551599543234
2020-05-20,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1216,585700,8735.8564,67.04551599543234
2020-05-19,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1206,585700,8735.8564,67.04551599543234
2020-05-26,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1250,585700,8735.8564,67.04551599543234
2020-05-25,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1245,585700,8735.8564,67.04551599543234
2020-05-28,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1259,585700,8735.8564,67.04551599543234
2020-05-27,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1256,585700,8735.8564,67.04551599543234
2020-05-07,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,973,585700,8735.8564,67.04551599543234
2020-05-06,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,957,585700,8735.8564,67.04551599543234
2020-05-09,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1035,585700,8735.8564,67.04551599543234
2020-05-08,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1001,585700,8735.8564,67.04551599543234
2020-05-03,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,898,585700,8735.8564,67.04551599543234
2020-05-02,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,889,585700,8735.8564,67.04551599543234
2020-05-05,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,946,585700,8735.8564,67.04551599543234
2020-05-04,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,931,585700,8735.8564,67.04551599543234
2020-05-14,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1142,585700,8735.8564,67.04551599543234
2020-05-13,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1123,585700,8735.8564,67.04551599543234
2020-05-16,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1181,585700,8735.8564,67.04551599543234
2020-05-15,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1152,585700,8735.8564,67.04551599543234
2020-05-11,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1078,585700,8735.8564,67.04551599543234
2020-05-10,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1050,585700,8735.8564,67.04551599543234
2020-05-12,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1102,585700,8735.8564,67.04551599543234
2020-03-31,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,547,1183120,1104.1419,1071.5289402566825
2020-03-30,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,449,1183120,1104.1419,1071.5289402566825
2020-04-02,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,682,1183120,1104.1419,1071.5289402566825
2020-04-01,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,632,1183120,1104.1419,1071.5289402566825
2020-03-27,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,299,1183120,1104.1419,1071.5289402566825
2020-03-26,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,258,1183120,1104.1419,1071.5289402566825
2020-03-29,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,401,1183120,1104.1419,1071.5289402566825
2020-03-28,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,376,1183120,1104.1419,1071.5289402566825
2020-04-08,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1166,1183120,1104.1419,1071.5289402566825
2020-04-07,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1094,1183120,1104.1419,1071.5289402566825
2020-04-10,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1314,1183120,1104.1419,1071.5289402566825
2020-04-09,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,1251,1183120,1104.1419,1071.5289402566825
2020-04-04,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,851,1183120,1104.1419,1071.5289402566825
2020-04-03,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,779,1183120,1104.1419,1071.5289402566825
2020-04-06,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,984,1183120,1104.1419,1071.5289402566825
2020-04-05,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,931,1183120,1104.1419,1071.5289402566825
2020-03-16,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,44,1183120,1104.1419,1071.5289402566825
2020-03-15,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,39,1183120,1104.1419,1071.5289402566825
2020-03-18,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,57,1183120,1104.1419,1071.5289402566825
2020-03-17,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,49,1183120,1104.1419,1071.5289402566825
2020-03-12,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,10,1183120,1104.1419,1071.5289402566825
2020-03-11,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,5,1183120,1104.1419,1071.5289402566825
2020-03-14,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,31,1183120,1104.1419,1071.5289402566825
2020-03-13,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,20,1183120,1104.1419,1071.5289402566825
2020-03-23,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,152,1183120,1104.1419,1071.5289402566825
2020-03-22,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,130,1183120,1104.1419,1071.5289402566825
2020-03-25,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,221,1183120,1104.1419,1071.5289402566825
2020-03-24,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,183,1183120,1104.1419,1071.5289402566825
2020-03-20,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,91,1183120,1104.1419,1071.5289402566825
2020-03-19,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,71,1183120,1104.1419,1071.5289402566825
2020-03-21,Greater Glasgow and Clyde,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,110,1183120,1104.1419,1071.5289402566825
2020-03-21,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,20,585700,8735.8564,67.04551599543234
2020-03-20,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,19,585700,8735.8564,67.04551599543234
2020-03-23,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,24,585700,8735.8564,67.04551599543234
2020-03-22,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,23,585700,8735.8564,67.04551599543234
2020-03-17,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,18,585700,8735.8564,67.04551599543234
2020-03-16,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,12,585700,8735.8564,67.04551599543234
2020-03-19,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,18,585700,8735.8564,67.04551599543234
2020-03-18,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,18,585700,8735.8564,67.04551599543234
2020-03-29,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,62,585700,8735.8564,67.04551599543234
2020-03-28,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,52,585700,8735.8564,67.04551599543234
2020-03-31,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,86,585700,8735.8564,67.04551599543234
2020-03-30,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,66,585700,8735.8564,67.04551599543234
2020-03-25,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,29,585700,8735.8564,67.04551599543234
2020-03-24,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,24,585700,8735.8564,67.04551599543234
2020-03-27,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,45,585700,8735.8564,67.04551599543234
2020-03-26,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,31,585700,8735.8564,67.04551599543234
2020-05-28,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,919,306640,2643.3061000000002,116.00623930766095
2020-05-27,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,919,306640,2643.3061000000002,116.00623930766095
2020-05-24,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,917,306640,2643.3061000000002,116.00623930766095
2020-05-23,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,915,306640,2643.3061000000002,116.00623930766095
2020-05-26,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,918,306640,2643.3061000000002,116.00623930766095
2020-05-25,Forth Valley,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,917,306640,2643.3061000000002,116.00623930766095
2020-03-13,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,9,585700,8735.8564,67.04551599543234
2020-03-12,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,7,585700,8735.8564,67.04551599543234
2020-03-15,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,12,585700,8735.8564,67.04551599543234
2020-03-14,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,9,585700,8735.8564,67.04551599543234
2020-03-10,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,6,585700,8735.8564,67.04551599543234
2020-03-11,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,6,585700,8735.8564,67.04551599543234
2020-04-21,Grampian,Testing - Cumulative,Cumulative people tested for COVID-19 - Positive,Count,519,585700,8735.8564,67.04551599543234
