date_code,value,variable,official_name
2020-04-17,979,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-16,937,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-11,753,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-10,712,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-13,812,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-12,803,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-01,30,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-02,30,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-31,29,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-04,40,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-03,36,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-28,27,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-27,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-30,27,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-29,27,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-10,43,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-11,43,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-09,43,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-13,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-12,43,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-06,41,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-05,41,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-08,43,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-07,42,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-15,13,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-16,15,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-14,13,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-18,16,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-17,15,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-11,0,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-13,8,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-12,6,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-24,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-23,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-26,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-25,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-20,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-19,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-22,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-03-21,24,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-06,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-07,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-05,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-09,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-08,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-02,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-01,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-04,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-03,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-15,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-16,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-14,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-18,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-17,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-11,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-10,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-13,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-12,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-19,51,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-20,51,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-18,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-22,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-21,52,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-15,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-14,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-17,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-16,45,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-28,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-27,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-30,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-29,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-24,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-23,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-26,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-04-25,54,Testing - Cumulative people tested for COVID-19 - Positive,Shetland
2020-05-14,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-15,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-13,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-17,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-16,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-10,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-09,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-12,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-11,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-23,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-24,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-22,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-26,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-25,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-19,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-18,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-21,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-20,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-27,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-28,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-26,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-30,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-29,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-23,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-22,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-25,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-24,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-06,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-05,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-08,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-07,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-02,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-01,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-04,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-03,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-29,1039,Testing - Cumulative people tested for COVID-19 - Positive,Ayrshire and Arran
2020-05-29,260,Testing - Cumulative people tested for COVID-19 - Positive,Dumfries and Galloway
2020-05-29,325,Testing - Cumulative people tested for COVID-19 - Positive,Borders
2020-05-28,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-27,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-28,1665,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-27,1661,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-24,1658,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-23,1645,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-26,1659,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-25,1659,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-03-15,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-16,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-14,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-18,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-17,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-11,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-13,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-12,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-11,1497,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-12,1505,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-10,1497,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-14,1540,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-13,1515,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-07,1465,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-06,1445,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-09,1486,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-08,1471,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-20,1617,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-19,1599,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-22,1641,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-21,1632,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-16,1582,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-15,1555,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-18,1593,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-05-17,1589,Testing - Cumulative people tested for COVID-19 - Positive,Tayside
2020-04-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-11,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-13,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-12,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-06,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-05,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-19,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-18,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-21,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-20,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-15,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-14,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-17,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-16,6,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-24,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-25,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-23,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-27,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-26,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-20,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-19,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-22,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-21,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-02,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-01,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-04,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-04-03,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-29,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-28,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-31,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-03-30,0,Testing - Cumulative people tested for COVID-19 - Positive,Western Isles
2020-05-11,1693,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-12,1715,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-10,1660,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-14,1762,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-13,1721,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-07,1576,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-06,1541,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-09,1635,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-08,1628,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-20,1867,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-21,1892,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-19,1853,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-23,1922,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-22,1913,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-16,1812,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-15,1781,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-18,1840,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-17,1828,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-24,1176,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-25,1187,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-23,1155,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-27,1265,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-26,1231,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-20,1051,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-19,1022,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-22,1118,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-21,1076,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-03,1454,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-02,1436,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-05,1520,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-04,1492,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-29,1329,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-28,1297,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-01,1400,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-30,1374,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-24,70,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-25,88,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-23,59,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-27,139,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-26,111,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-20,40,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-19,35,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-22,46,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-21,44,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-04-02,356,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-04-03,408,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-04-01,311,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-04-05,534,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-04-04,476,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-29,188,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-28,151,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-31,269,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-30,208,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-05-28,1968,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-10,7,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-09,5,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-05-25,1944,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-24,1934,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-27,1957,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-26,1948,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-16,29,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-15,28,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-18,33,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-17,30,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-12,11,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-11,8,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-14,25,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-03-13,19,Testing - Cumulative people tested for COVID-19 - Positive,Lothian
2020-05-25,335,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-26,336,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-24,335,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-28,337,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-27,337,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-21,334,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-20,334,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-23,335,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-22,335,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-03-12,7,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-13,7,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-11,0,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-15,16,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-14,10,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-08,0,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-07,0,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-10,0,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-03-09,0,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-05-08,317,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-09,317,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-07,313,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-11,322,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-10,320,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-04,299,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-03,297,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-06,310,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-05,307,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-17,331,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-16,331,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-19,333,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-18,331,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-13,324,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-12,324,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-15,331,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-05-14,328,Testing - Cumulative people tested for COVID-19 - Positive,Highland
2020-04-07,547,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-08,575,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-06,512,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-10,662,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
2020-04-09,607,Testing - Cumulative people tested for COVID-19 - Positive,Lanarkshire
